,Product Name ,Product Price,Review
0,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
1,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
2,boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,"1,099",4
3,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
4,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"1,799",4.3
5,"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...","1,999",4.3
6,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
7,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
8,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","1,399",4.1
9,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"1,599",4.1
10,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
11,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
12,boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,"1,099",4
13,Apple AirPods Pro (2nd generation) with MagSafe Case (U...,"23,990",4.6
14,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,799,4
15,"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","1,599",4.1
16,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
17,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
18,boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,"1,099",4
19,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,999,4
20,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
21,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
22,"boAt Immortal 171 w/ Beast Mode(40ms Low Latency), 40 H...",999,4
23,"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",899,4
24,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
25,"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",899,4
26,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
27,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
28,"boAt Immortal 131 w/ Beast Mode(40ms Low Latency), 40 H...","1,299",4
29,"realme Buds T110 with AI ENC for calls, upto 38 hours o...","1,499",4.2
30,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
31,"TECHFIRE Bullets 121 with Beast Mode(40ms Low Latency),...",699,3.4
32,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,799,4
33,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","2,499",4.1
34,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",899,3.9
35,"boAt Airdopes 200 Plus with 100 HRS Playback, Quad Mics...",999,3.8
36,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
37,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
38,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
39,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",999,4
40,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
41,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
42,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
43,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",899,3.9
44,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
45,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
46,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
47,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
48,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","1,499",4.1
49,"realme Buds T110 with AI ENC for calls, upto 38 hours o...","1,499",4.2
50,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
51,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
52,OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"1,999",4.3
53,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
54,"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",749,4
55,"boAt Airdopes 200 Plus with 100 HRS Playback, Quad Mics...",999,3.8
56,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
57,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
58,"boAt Immortal 131 w/ Beast Mode(40ms Low Latency), 40 H...","1,099",4
59,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
60,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
61,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
62,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"1,799",4.3
63,Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,"10,990",4.5
64,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,799,4
65,"boAt Airdopes 200 Plus with 100 HRS Playback, Quad Mics...",999,3.8
66,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
67,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
68,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
69,"boAt Airdopes 161 w/ 50HRS Playback, ENx Tech, 13mm Dri...",999,3.9
70,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
71,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
72,"Aroma NB140 Galaxy 50 Hours* Playtime, Deep Bass, Fast ...",701,3.6
73,"HOPPUP Predator Xo1 Gaming Earbuds with 50H Playtime,13...",799,4.1
74,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",899,3.9
75,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","1,999",4.1
76,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
77,HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,799,3.9
78,OnePlus Nord Buds 2 Earbuds with 25dB Active Noise Canc...,"2,999",4.3
79,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
80,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
81,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
82,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",999,4.1
83,"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","1,599",4.1
84,"Aroma NB140 Galaxy 50 Hours* Playtime, Deep Bass, Fast ...",701,3.6
85,"boAt Immortal 161 w/ Beast Mode(40ms Low Latency), 40 H...","1,099",4
86,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
87,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
88,"Mivi Commando Z7,13mm Drivers Bass,50H Playtime,Dual Mi...",899,3.7
89,"boAt Airdopes 161 ANC Elite w/ ANC, 50 HRS Playback, AS...","1,399",4
90,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
91,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
92,OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"1,999",4.3
93,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
94,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","1,999",4.1
95,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"1,999",4.3
96,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
97,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
98,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
99,"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","2,499",4.2
100,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
101,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
102,"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume ...","5,499",4.5
103,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",999,4.1
104,"Number Super Buds Pro GT9 Helmet MEMS ENC Gaming TWS, 4...",999,3.9
105,"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...","1,798",4
106,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
107,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
108,"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...","1,999",4.3
109,"realme Buds T110 with AI ENC for calls, upto 38 hours o...","1,499",4.2
110,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
111,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
112,"realme Buds Air 6 with 50dB ANC, 12.4mm Bass Driver, Hi...","3,299",4.3
113,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","1,499",4.1
114,"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","1,299",3.9
115,"realme Buds Air 6 with 50dB ANC, 12.4mm Bass Driver, Hi...","3,299",4.3
116,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
117,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
118,"Mivi DuoPods i7 TWS,3D Soundstage,High-fidelity Driver,...","1,499",4.1
119,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","1,999",4.1
120,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
121,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
122,"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...","1,398",3.9
123,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,899,4
124,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",999,4
125,"truke Buds S2 Lite with Quad-Mic ENC, 48H Playtime, Mad...",799,3.9
126,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
127,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
128,"boAt Immortal 150 w/ Beast Mode(40ms Low Latency), 40 H...","1,098",3.9
129,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
130,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
131,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
132,"realme Buds T310 with 12.4mm Driver, 46dB ANC, Spatial ...","2,499",4.2
133,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","1,399",4.1
134,"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",899,3.9
135,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...","1,199",4
136,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
137,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
138,"moto buds+|Sound by Bose, Dual Dynamic Drivers, 48dB AN...","9,999",4
139,"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...","1,399",4.6
140,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
141,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
142,"Boult XPods with Mega 13mm Drivers, 20H Battery, Fast C...",699,3.9
143,"Highnotes AirDoze TypeC BT 5.2, 65msLowLatency TouchEna...",649,3.7
144,"Mivi DuoPods K6 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",999,4
145,Nothing Ear (2) 2023 | Dual chamber sound | Hi-res audi...,"7,999",4.3
146,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
147,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
148,"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...","1,399",3.8
149,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
150,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
151,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
152,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","1,299",4
153,"JBL Tune 235NC TWS, Active Noise Cancellation, 40Hr Pla...","3,499",3.8
154,WINGS Phantom Wireless Earbuds with 50ms Low Latency Ga...,898,4
155,"boAt Airdopes 161 Pro-Buds w/ ASAP Charge, Multi-Point ...","1,198",3.8
156,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
157,"TECHFIRE Bullets 121 with Beast Mode(40ms Low Latency),...",699,3.4
158,"truke Earbuds A1 with Quad Mic ANC upto 32db, 48Hrs bat...",699,3.7
159,"truke Buds S1 with Quad Mic ENC, 72 Hours Playtime, 10m...","1,099",4
160,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
161,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
162,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
163,OPPO Enco Air3 Pro Industry first Composite Bamboo Fibe...,"4,999",4.3
164,"CMF by Nothing Buds Pro with 45 dB ANC, Ultra Bass Tech...","2,999",4.1
165,"Mivi DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",999,4
166,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
167,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
168,"Mivi DuoPods K6 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",999,4
169,WINGS Phantom Earbuds with 50ms Low Latency Game mode 5...,898,4
170,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
171,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
172,"Noise Buds VS401 with 50 Hrs Playtime, Quad Mic with EN...","1,199",4
173,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","1,299",4.1
174,Google Pixel Buds A-Series with Google Assistant Blueto...,"4,999",4.3
175,boAt Airdopes 131 Elite ANC w/ Active Noise Cancellatio...,"1,299",4
176,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
177,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
178,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
179,"Bose QUIETCOMFORT EARBUDS II,WW Bluetooth Headset","14,999",4.2
180,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
181,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
182,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...","1,199",4
183,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","1,099",3.9
184,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
185,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","1,099",3.9
186,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
187,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
188,"TRIGGR Apex S1 Dual Pairing, 100H Battery, Quad Mic ENC...","1,199",4
189,SONY WF-C500 IPX4/20Hrs Battery Life Bluetooth Headset,"5,439",4.1
190,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
191,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
192,"truke Buds Q1+ with 80H Playtime, Quad Mic Adv.ENC, 12m...",899,3.8
193,Nothing Ear (a) 2024 | ChatGPT Compatible | Hi-Res audi...,"7,999",4.3
194,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
195,"Mivi DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",999,4
196,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
197,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
198,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","1,299",4.1
